@RELATION dataset-10-coral

@ATTRIBUTE seq numeric
@ATTRIBUTE rssi numeric
@ATTRIBUTE received {True,False}
@ATTRIBUTE prr numeric
@ATTRIBUTE lqi numeric
@ATTRIBUTE link_num {24,25,26,27,20,21,22,23,28,29,1,0,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18,31,30,35,34,33,32}
@ATTRIBUTE experiment_num {0}
@ATTRIBUTE class {perfect,bad,avg,terrible,good}

@DATA
34,42.0,False,0.4,154.791988671,4,0,avg
35,42.0,False,0.2,154.977325875,4,0,bad
36,42.0,False,0.2,155.323798811,4,0,bad
37,42.0,False,0.2,155.319367964,4,0,bad
38,42.0,True,0.2,156.0,4,0,bad
39,42.0,False,0.2,157.926209253,4,0,bad
40,42.0,False,0.2,155.44334532,4,0,bad
41,42.0,False,0.2,157.014341746,4,0,bad
42,42.0,False,0.2,157.064697033,4,0,bad
43,42.0,False,0.0,157.175175961,4,0,terrible
44,42.0,False,0.0,157.912867725,4,0,terrible
45,42.0,False,0.0,157.723292287,4,0,terrible
46,42.0,False,0.0,157.639869576,4,0,terrible
47,42.0,False,0.0,156.714532179,4,0,terrible
48,42.0,False,0.0,157.078341211,4,0,terrible
49,42.0,False,0.0,156.898632813,4,0,terrible
50,42.0,False,0.0,156.802187993,4,0,terrible
51,42.0,False,0.0,158.467266057,4,0,terrible
52,42.0,False,0.0,156.362019298,4,0,terrible
53,42.0,False,0.0,155.981162511,4,0,terrible
54,42.0,True,0.2,158.0,4,0,bad
55,43.0422990311,False,0.2,160.686480857,4,0,bad
56,40.0,True,0.4,161.0,4,0,avg
5,49.0,False,0.4,155.551027816,5,0,avg
6,49.0,False,0.2,152.667997889,5,0,bad
7,49.0,False,0.0,151.860101325,5,0,terrible
8,49.0,False,0.0,156.001002989,5,0,terrible
9,49.0,False,0.0,148.705298672,5,0,terrible
10,49.0,False,0.0,144.678942129,5,0,terrible
11,49.0,False,0.0,159.794464646,5,0,terrible
12,49.0,False,0.0,160.188912512,5,0,terrible
13,49.0,False,0.0,155.538133526,5,0,terrible
14,49.0,False,0.0,153.90519513,5,0,terrible
15,49.0,False,0.0,150.322756591,5,0,terrible
16,49.0,False,0.0,157.704731514,5,0,terrible
17,49.0,False,0.0,148.467790516,5,0,terrible
18,49.0,True,0.2,158.0,5,0,bad
19,49.0,False,0.2,158.826478239,5,0,bad
20,49.0,False,0.2,158.304801832,5,0,bad
21,49.0,False,0.2,158.465362176,5,0,bad
22,49.0,False,0.2,158.783534542,5,0,bad
23,49.0,False,0.0,159.271097833,5,0,terrible
24,49.0,False,0.0,158.083687607,5,0,terrible
25,49.0,False,0.0,158.401196609,5,0,terrible
26,49.0,False,0.0,157.894417269,5,0,terrible
27,49.0,False,0.0,158.15768266,5,0,terrible
28,49.0,False,0.0,158.622499919,5,0,terrible
29,49.0,False,0.0,157.895737601,5,0,terrible
30,49.0,False,0.0,158.594338867,5,0,terrible
31,49.0,False,0.0,158.755080779,5,0,terrible
32,49.0,False,0.0,157.428356798,5,0,terrible
33,49.0,False,0.0,158.137437642,5,0,terrible
34,49.0,False,0.0,159.028837931,5,0,terrible
35,49.0,True,0.2,159.0,5,0,bad
36,49.0,False,0.2,159.935329772,5,0,bad
37,49.0,False,0.2,161.218435724,5,0,bad
38,49.0,False,0.2,152.729568185,5,0,bad
39,49.0,False,0.2,145.314360499,5,0,bad
40,49.0,False,0.0,151.109402109,5,0,terrible
41,49.0,True,0.2,149.0,5,0,bad
42,49.0,False,0.2,147.578308356,5,0,bad
43,49.0,False,0.2,148.264099292,5,0,bad
44,49.0,False,0.2,148.574962581,5,0,bad
45,49.0,False,0.2,148.356551182,5,0,bad
46,49.0,False,0.0,147.542781016,5,0,terrible
47,49.0,False,0.0,148.683171416,5,0,terrible
48,49.0,False,0.0,148.223319533,5,0,terrible
49,49.0,False,0.0,147.711004229,5,0,terrible
50,49.0,False,0.0,148.712342538,5,0,terrible
51,49.0,False,0.0,148.425046242,5,0,terrible
52,49.0,False,0.0,148.779522699,5,0,terrible
53,49.0,False,0.0,148.698524015,5,0,terrible
54,49.0,False,0.0,147.871912349,5,0,terrible
55,49.0,False,0.0,148.280016814,5,0,terrible
56,49.0,False,0.0,148.895670835,5,0,terrible
5,41.0,False,0.6,154.702998674,6,0,avg
6,41.0,False,0.4,154.437923294,6,0,avg
7,41.0,False,0.2,154.678259189,6,0,bad
8,41.0,False,0.2,154.213962144,6,0,bad
9,41.0,False,0.0,154.396912314,6,0,terrible
10,41.0,True,0.2,154.0,6,0,bad
11,41.0,False,0.2,155.729140212,6,0,bad
12,41.0,True,0.4,158.0,6,0,avg
13,41.0,False,0.4,158.0,6,0,avg
14,41.0,False,0.4,158.0,6,0,avg
15,41.0,False,0.2,158.0,6,0,bad
16,41.0,False,0.2,158.0,6,0,bad
17,41.0,False,0.0,158.0,6,0,terrible
18,41.0,False,0.0,158.0,6,0,terrible
19,41.0,False,0.0,158.0,6,0,terrible
20,41.0,False,0.0,158.0,6,0,terrible
21,41.0,True,0.2,158.0,6,0,bad
22,41.0,False,0.2,160.80590984,6,0,bad
23,41.0,False,0.2,157.543008776,6,0,bad
24,41.0,True,0.4,151.0,6,0,avg
